City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Barra Patuca,HN,15.8,-84.2833,80.62,77,5,18.1,clear sky
80,Puri,IN,19.8,85.85,81.12,85,100,15.68,overcast clouds
81,Hithadhoo,MV,-0.6,73.0833,82.67,67,7,2.37,clear sky
82,Ambositra,MG,-20.5167,47.25,56.62,95,5,1.59,clear sky
83,Torres,BR,-29.3353,-49.7269,71.83,92,96,7.52,overcast clouds
84,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,16.11,few clouds
85,Sinnamary,GF,5.3833,-52.95,77.7,85,96,9.93,overcast clouds
86,Lagoa,PT,39.05,-27.9833,59.09,72,23,8.1,few clouds
87,Khor,RU,47.8861,134.9464,48.02,67,67,13.96,broken clouds
88,Marica,BR,-22.9194,-42.8186,78.75,91,1,6.33,clear sky
89,Klaksvik,FO,62.2266,-6.589,31.12,61,100,14.81,overcast clouds
90,Beloha,MG,-25.1667,45.05,70.54,90,14,5.35,few clouds
91,Krasnouralsk,RU,58.3638,60.0407,35.17,83,100,9.82,overcast clouds
92,Palmer,US,42.1584,-72.3287,48.61,57,75,8.05,broken clouds
93,Turukhansk,RU,65.8167,87.9833,25.02,93,100,18.45,light snow
94,Westport,US,41.1415,-73.3579,51.8,50,20,5.99,few clouds
95,Sorland,NO,67.667,12.6934,30.9,46,17,15.14,few clouds
96,Rudnogorsk,RU,57.2639,103.7519,17.98,78,100,2.42,overcast clouds
97,Karratha,AU,-20.7377,116.8463,87.87,47,0,7.05,clear sky
98,Tadine,NC,-21.55,167.8833,82.96,77,100,12.48,overcast clouds
99,Saint-Philippe,RE,-21.3585,55.7679,75.22,87,62,11.52,light rain
100,Airai,TL,-8.9266,125.4092,71.33,55,27,0.49,scattered clouds
101,Muros,ES,42.7762,-9.0603,45.09,64,0,16.73,clear sky
102,Mulege,MX,26.8833,-111.9833,69.76,50,0,2.91,clear sky
103,Malanje,AO,-9.5402,16.341,64.29,96,98,2.89,overcast clouds
104,Laguna,US,38.421,-121.4238,73.58,55,0,8.05,clear sky
105,Calvia,ES,39.5657,2.5062,51.93,64,94,14.85,overcast clouds
106,Gamba,GA,-2.65,10.0,77.41,91,100,4.99,overcast clouds
